ï»¿Source.Name,Column1,id,date,source,place,username,Content,hashtags,Likes,processed_text
wolvesEOS_analysisV1hashtag.xlsx,21,1.51106e+18,04/04/2022 19:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,ricky_tooth,Arsenal are currently loosing! Which means 5 points from them!! #WolvesFC #wwfc #wolves https://t.co/7bewTr0IMb,"['WolvesFC', 'wwfc', 'wolves']",0,arsenal are currently loosing which means 5 points from them
wolvesEOS_analysisV1hashtag.xlsx,22,1.51106e+18,04/04/2022 19:15,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,BehnkeDesignLLC,More art for #WerewolvesofBritain #LiminalRPG #instaart #art #drawing #painting #illustration #ttrpg #modernfantasy #horror #wolves @corelpainter @wacom https://t.co/PvBpgGmzUM,"['WerewolvesofBritain', 'LiminalRPG', 'instaart', 'art', 'drawing', 'painting', 'illustration', 'ttrpg', 'modernfantasy', 'horror', 'wolves']",3,more art for
wolvesEOS_analysisV1hashtag.xlsx,23,1.51105e+18,04/04/2022 18:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,DaveOfWolves,How can Neves have been rumoured to be getting a bumper contract last week and then this week heâs looking at been off to Barcelona in the summer. #Wolves #wwfc,"['Wolves', 'wwfc']",0,how can neves have been rumoured to be getting a bumper contract last week and then this week heâs looking at been off to barcelona in the summer
wolvesEOS_analysisV1hashtag.xlsx,24,1.51105e+18,04/04/2022 18:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,suecheng2816,Brans predictions - The Wolves will reign Supreme in Westros #branstark #issachempsteadwright #wolves #fanfiction https://t.co/er8F6ly9tq,"['branstark', 'issachempsteadwright', 'wolves', 'fanfiction']",0,brans predictions  the wolves will reign supreme in westros
wolvesEOS_analysisV1hashtag.xlsx,25,1.51105e+18,04/04/2022 18:40,"<a href=""https://icdb.tv"" rel=""nofollow"">ICDB2022</a>",,ICDb_tv,Newcastle United vs Wolves is on BBC RADIO 5 LIVE. With commentary from Vicki Sparks. Co-commentator is Chris Waddle. Coverage presented by Darren Fletcher.  For more details see https://t.co/cZmDfhrz6M #NewcastleUnited #Wolves #BBCRADIOLIVE,"['NewcastleUnited', 'Wolves', 'BBCRADIOLIVE']",0,newcastle united vs wolves is on bbc radio 5 live with commentary from vicki sparks cocommentator is chris waddle coverage presented by darren fletcher  for more details see
wolvesEOS_analysisV1hashtag.xlsx,26,1.51105e+18,04/04/2022 18:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,LedaHuta,Wolf protectors get trained and have lots of options on actions to take to save wolves! #wolves #RelistWolves,"['wolves', 'RelistWolves']",14,wolf protectors get trained and have lots of options on actions to take to save wolves
wolvesEOS_analysisV1hashtag.xlsx,27,1.51105e+18,04/04/2022 18:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,BenThorne01,"Mings &amp; co snarling off, and the Portuguese boys having the time of their lives! Still hard to think how it could have been much better! ðµð¹ ð¤© It was right up there as one of the most enjoyable Molineux matches; for quality of performance &amp; atmosphere, for me! #wwfc #wolves ð§¡","['wwfc', 'wolves']",3,mings amp co snarling off and the portuguese boys having the time of their lives still hard to think how it could have been much better ðµð¹ ð it was right up there as one of the most enjoyable molineux matches for quality of performance amp atmosphere for me   ð
wolvesEOS_analysisV1hashtag.xlsx,28,1.51105e+18,04/04/2022 18:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,CucichF,"Regardless of what Trump did, it's now responsibility of  @JoeBiden who has power to protect or leave #wolves to extinction in America @CoryBooker @MartyIrby @RepCohen @dinatitus #RelistWolves @repdinatitus @DeborahFerrari @TheDemocrats @nrdems @Blueequus775 #RelistWolves @POTUS","['wolves', 'RelistWolves', 'RelistWolves']",6,regardless of what trump did its now responsibility of   who has power to protect or leave  to extinction in america
wolvesEOS_analysisV1hashtag.xlsx,29,1.51105e+18,04/04/2022 18:17,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Wolverhampton Rooter</a>",,WolvesRooter,"I think...' - Journalist drops massive claim regarding 'unbelievable' Wolves hero's future
#WOL #Wolves #WWFC
https://t.co/LDLojQE0EJ","['WOL', 'Wolves', 'WWFC']",0,i think  journalist drops massive claim regarding unbelievable wolves heros future
wolvesEOS_analysisV1hashtag.xlsx,30,1.51104e+18,04/04/2022 18:00,"<a href=""https://social.zoho.com"" rel=""nofollow"">Zoho Social</a>",,_AlwaysWolves,"Extra Time is on at 8.30pm we will be discussing Wolves v Aston Villa so join us on YouTube 
â¡ï¸ https://t.co/q6hlEuAo1e 

#wwfc #wolves #wolavl https://t.co/c88Wo0EQKj","['wwfc', 'wolves', 'wolavl']",5,"extra time is on at 830pm we will be discussing wolves v aston villa so join us on youtube 
âï"
