Source.Name,Column1,id,date,source,place,username,Content,hashtags,Likes,processed_text
wolvesMOS_analysisV3hashtag.xlsx,2063,1471197168165961984,2021-12-15 19:15:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,NegrescoBetting,"[15/12/21]
 FUN

⭐#Brighton- #Wolves: Wolves ou Draw

Odds : 1.70☘

#TeamParieur #1xbet #PremierLeague
#Ligue1UberEats #Barcelona #PremierLeague 

❤if you follow 
🔄for sharing 
🤞🏽","['Brighton', 'Wolves', 'TeamParieur', '1xbet', 'PremierLeague', 'Ligue1UberEats', 'Barcelona', 'PremierLeague']",3,"151221
 fun

  wolves ou draw

odds  170

  
   

if you follow 
for sharing"
wolvesMOS_analysisV3hashtag.xlsx,2067,1471196498293575936,2021-12-15 19:12:33,"<a href=""http://www.github.com/magnusnissel"" rel=""nofollow"">mn_nba_bot</a>",,Sportsballbot,"""smh Mitchell just reached a whole new level with this quote""

https://t.co/ViytQOnhz7

[via r/timberwolves Dec 15, 2015 #Wolves]",['Wolves'],0,"smh mitchell just reached a whole new level with this quote



via rtimberwolves dec 15 2015"
wolvesMOS_analysisV3hashtag.xlsx,305,1475914023694708992,2021-12-28 19:38:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,jojogas,Norway has less than 100 #wolves. Half of them are scheduled for slaughter this winter. Please join us in urging Norway’s Ministry of Climate and the Environment and Environment Agency to cancel this ongoing wolf hunt before they go extinct! #SaveOurWolves https://t.co/7YXYa8MJUg,"['wolves', 'SaveOurWolves']",0,norway has less than 100  half of them are scheduled for slaughter this winter please join us in urging norways ministry of climate and the environment and environment agency to cancel this ongoing wolf hunt before they go extinct
wolvesMOS_analysisV2hashtag.xlsx,506,1469677577124167936,2021-12-11 14:36:54,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,priceyinitaly,Another heroic performance marred by yet another questionable refereeing / VAR decision. Would that have been given against a City player? Probably not. #MCIWOL #Wolves #wwfc,"['MCIWOL', 'Wolves', 'wwfc']",1,another heroic performance marred by yet another questionable refereeing  var decision would that have been given against a city player probably not
wolvesMOS_analysisV3hashtag.xlsx,1737,1471799000860872960,2021-12-17 11:06:41,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,mightywolvesfan,"Offers on last minute shopping in the Megastore #wolves #wwfc 
https://t.co/EG1Hu4lBKy","['wolves', 'wwfc']",0,offers on last minute shopping in the megastore
wolvesMOS_analysisV3hashtag.xlsx,1942,1471233040009601024,2021-12-15 21:37:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Doctor_Octagon,"BANG BANG 🧨🧨

Under 2 Brighton/Wolves (-115)✔️
Final Score: Wolves 1-0 (+220) ✔️
Under 2.5 Watford/Burnley (CANCELLED)
Parlay❌

Up 3.5 units on the day 💰

Who wants more picks?!👀

#EPL #WOLVES #GamblingTwitter #FREEPICK #FREEPLAY #NCAAM","['EPL', 'WOLVES', 'GamblingTwitter', 'FREEPICK', 'FREEPLAY', 'NCAAM']",1,"bang bang 

under 2 brightonwolves 115
final score wolves 10 220 
under 25 watfordburnley cancelled
parlay

up 35 units on the day 

who wants more picks"
wolvesMOS_analysisV3hashtag.xlsx,1239,1472607905669079040,2021-12-19 16:40:59,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,JayWolves90,Good defensive performance but once again the referee fucking us over siding with a 'big' team! Kante blatent hand ball to stop us going through on goal and absolutely nothing given! Guarantee if that was other way round var would soon jump in to send us off 😡😡 #Wolves,['Wolves'],0,good defensive performance but once again the referee fucking us over siding with a big team kante blatent hand ball to stop us going through on goal and absolutely nothing given guarantee if that was other way round var would soon jump in to send us off
wolvesMOS_analysisV1hashtag.xlsx,314,1467151845005139968,2021-12-04 15:20:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Mr_Magic_Bryce,I respect #Wolves fans for not misbehaving to Jota.,['Wolves'],0,i respect  fans for not misbehaving to jota
wolvesMOS_analysisV2hashtag.xlsx,1583,1467551608200442112,2021-12-05 17:49:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,TheMN_Wolves,"Atlanta has been hot recently, winning the last 8 of 10, hopefully the wolves can get a dub tomorrow #wolves #hawks","['wolves', 'hawks']",0,atlanta has been hot recently winning the last 8 of 10 hopefully the wolves can get a dub tomorrow
wolvesMOS_analysisV3hashtag.xlsx,24,1476990314586021888,2021-12-31 18:55:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,TalkingWolves,"Congratulations to Raul Jimenez and his partner Daniela who have announced that they’re expecting another child in 2022. 👶🏻 

#WWFC | #Wolves https://t.co/mLqMX66Q1W","['WWFC', 'Wolves']",1608,congratulations to raul jimenez and his partner daniela who have announced that theyre expecting another child in 2022
wolvesMOS_analysisV2hashtag.xlsx,562,1469672812977828096,2021-12-11 14:17:58,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Salman3920,"Demote the refree who give it a penalty.
#Mancitywolves #Wolves #ManCity","['Mancitywolves', 'Wolves', 'ManCity']",0,demote the refree who give it a penalty
wolvesMOS_analysisV3hashtag.xlsx,1956,1471225619249876992,2021-12-15 21:08:16,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,mightywolvesfan,"Gallery | Brighton vs Wolves #wolves #wwfc 
https://t.co/IO4cdc9sDD","['wolves', 'wwfc']",0,gallery  brighton vs wolves
wolvesMOS_analysisV3hashtag.xlsx,1391,1472573658312942080,2021-12-19 14:24:53,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,TeddyGraham1487,"You gotta love #Wolves fans chanting ""f**k VAR"" and then begging for a review of the non-handball from Kante. 

Pick a view and stick to it flip floppers. #VAR #EPL #WolChe","['Wolves', 'VAR', 'EPL', 'WolChe']",0,"you gotta love  fans chanting fk var and then begging for a review of the nonhandball from kante 

pick a view and stick to it flip floppers"
wolvesMOS_analysisV3hashtag.xlsx,358,1475739938029294080,2021-12-28 08:06:33,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,mightywolvesfan,"Win two match tickets with Wolves Score Predictor #wolves #wwfc 
https://t.co/a0S24Br2ci","['wolves', 'wwfc']",0,win two match tickets with wolves score predictor
wolvesMOS_analysisV3hashtag.xlsx,642,1474803964478516992,2021-12-25 18:07:20,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",,TheSilverWolf7,"My husband and I did a #puzzle together, and it makes me happy 🥰 #wolves #soulmate https://t.co/zODki8PYbX","['puzzle', 'wolves', 'soulmate']",0,my husband and i did a  together and it makes me happy
wolvesMOS_analysisV1hashtag.xlsx,813,1466137968075324928,2021-12-01 20:11:45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,chrishaycock83,My kingdom for a #wolves player that can take a corner #WOLBUR,"['wolves', 'WOLBUR']",0,my kingdom for a  player that can take a corner
wolvesMOS_analysisV2hashtag.xlsx,1486,1467913222179241984,2021-12-06 17:45:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,ste__83,It doesn’t matter as the kids got nothing to apologise for….but if you think thats Hoever putting out that tweet and not some ‘social media manager’ you’re deluded #Wolves,['Wolves'],6,it doesnt matter as the kids got nothing to apologise forbut if you think thats hoever putting out that tweet and not some social media manager youre deluded
wolvesMOS_analysisV3hashtag.xlsx,1139,1472770984851738880,2021-12-20 03:29:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,OfficialDreamCo,"Crypto rookies, and pros come join the club. NFT giveaways announced soon.

https://t.co/MTrhtkjBHt 

#nft #wolves #crypto #discord #telegram","['nft', 'wolves', 'crypto', 'discord', 'telegram']",2,crypto rookies and pros come join the club nft giveaways announced soon
wolvesMOS_analysisV1hashtag.xlsx,482,1466926322102513920,2021-12-04 00:24:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,WolvesWomenPod,Can all @WolvesWomen &amp; @NFFCWomen supporters on Sunday please join us in the 6th min for a minutes applause to remember Arthur! #RIParthur #wolves #wolvesaywe #WolvesWomen,"['RIParthur', 'wolves', 'wolvesaywe', 'WolvesWomen']",16,can all  amp  supporters on sunday please join us in the 6th min for a minutes applause to remember arthur
wolvesMOS_analysisV3hashtag.xlsx,1629,1472060987318669056,2021-12-18 04:27:43,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,LakersMX,"MITAD

#LAKERS 45
#WOLVES 54

@russwest44 8 pts.
@carmeloanthony 8 pts, 1 tap.
@isaiahthomas 7 pts, 1 ast.
@AntDavis23 7 pts, 1 tap.
@KingJames 7 pts, 7 reb.

#NBA75 #LakeShow https://t.co/As8sCTjIiE","['LAKERS', 'WOLVES', 'NBA75', 'LakeShow']",2,"mitad

 45
 54

 8 pts
 8 pts 1 tap
 7 pts 1 ast
 7 pts 1 tap
 7 pts 7 reb"
wolvesMOS_analysisV3hashtag.xlsx,1677,1471922840685403904,2021-12-17 19:18:46,"<a href=""http://www.eyefootball.com"" rel=""nofollow"">Football Tweeter 20</a>",,wolvesbot,#Chelsea #cfc @chelseafc boss confirms duo are doubtful to face #Wolves #wwfc  https://t.co/sKu6GSESUY #Tuchel #ThomasTuchel #Loftus #RubenLoftus,"['Chelsea', 'cfc', 'Wolves', 'wwfc', 'Tuchel', 'ThomasTuchel', 'Loftus', 'RubenLoftus']",0,boss confirms duo are doubtful to face
wolvesMOS_analysisV3hashtag.xlsx,1170,1472683606745047040,2021-12-19 21:41:47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,MIDNIGHTSKYWOLF,"Hi everyone here is another artwork done by my good friend @AzureRuuza she does amazing work on me and my mate Lilly @WolfQuestGame 
#Wolf #Wolfpack #Wolves 
#WolfMates #packmates https://t.co/1tqsbH7GbV","['Wolf', 'Wolfpack', 'Wolves', 'WolfMates', 'packmates']",3,hi everyone here is another artwork done by my good friend  she does amazing work on me and my mate lilly
wolvesMOS_analysisV2hashtag.xlsx,1249,1468752821675872000,2021-12-09 01:22:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Place(id='7142eb97ae21e839', fullName='Georgia, USA', name='Georgia', type='admin', country='United States', countryCode='US')",hhshoyafootball,We appreciate @CoachJRDorman of @UWGFootball for visiting the #Hoyas today 👍 #Wolves #HoyaSaxa https://t.co/TVZFnigAxC,"['Hoyas', 'Wolves', 'HoyaSaxa']",6,we appreciate  of  for visiting the  today
wolvesMOS_analysisV3hashtag.xlsx,1464,1472544348747223040,2021-12-19 12:28:25,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">ICDBNew</a>",,ICDb_tv,Wolves vs Chelsea is on BBC Sounds APP. Christian Fuchs is providing punditry.  For more details see https://t.co/EfTZ231sa2 #Wolves #Chelsea #BBCSoundsAPP,"['Wolves', 'Chelsea', 'BBCSoundsAPP']",0,wolves vs chelsea is on bbc sounds app christian fuchs is providing punditry  for more details see
wolvesMOS_analysisV3hashtag.xlsx,1910,1471242317130612992,2021-12-15 22:14:37,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Wolverhampton Rooter</a>",,WolvesRooter,"Brighton vs Wolves player ratings as Lamptey impresses as Albion's winless run continues
#WOL #Wolves #WWFC
https://t.co/ELsL9lTJSM","['WOL', 'Wolves', 'WWFC']",0,brighton vs wolves player ratings as lamptey impresses as albions winless run continues
wolvesMOS_analysisV1hashtag.xlsx,138,1467178546133147904,2021-12-04 17:06:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,flatcolor1,"Ha ha ha. 
It was really cute that #Wolves thought they had a result. #timewasting #origi","['Wolves', 'timewasting', 'origi']",2,"ha ha ha 
it was really cute that  thought they had a result"
wolvesMOS_analysisV1hashtag.xlsx,751,1466178801105359104,2021-12-01 22:54:01,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",,LiveWWFCNews,Live #Wolves News - Bruno Lage explains Adama Traore plan and gives honest Wolves verdict after Burnley draw https://t.co/A2khd7yNLX - By Birmingham Mail,['Wolves'],0,live  news  bruno lage explains adama traore plan and gives honest wolves verdict after burnley draw   by birmingham mail
wolvesMOS_analysisV3hashtag.xlsx,1441,1472556125082071040,2021-12-19 13:15:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,BenDinnery,"Wolves make three changes.

Raul Jimenez returns from suspension. 

Ki-Jana Hoever and Leander Dendoncker replace Nelson Semedo and Francisco Trincao.

#Wolves #CFC","['Wolves', 'CFC']",12,"wolves make three changes

raul jimenez returns from suspension 

kijana hoever and leander dendoncker replace nelson semedo and francisco trincao"
wolvesMOS_analysisV3hashtag.xlsx,547,1475190574181490944,2021-12-26 19:43:35,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,ESWolves_star,"It is quiet Christmas for #Wolves
 https://t.co/hz4Z7Wxdm6

#WWFC","['Wolves', 'WWFC']",11,it is quiet christmas for
wolvesMOS_analysisV3hashtag.xlsx,858,1473862789517221888,2021-12-23 03:47:26,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,toyranch,"So Karl Anthony Towns called himself the goat, got mocked by the actual goat, and got shut down in the 4th by a guy signed today out of the g league. Deserves the L he took.   #KAT #wolves #GOAT #Minnesota","['KAT', 'wolves', 'GOAT', 'Minnesota']",0,so karl anthony towns called himself the goat got mocked by the actual goat and got shut down in the 4th by a guy signed today out of the g league deserves the l he took
wolvesMOS_analysisV2hashtag.xlsx,64,1470759242026021120,2021-12-14 14:15:03,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,L2H2a,"#wolves The #center4BioDiversity suing 2save #Idaho #wolves. Please donate2stop. Killing allowed year-round, when denning with pups, no limits on #, indiscriminate strangulation #snares, will pay more than half a mill 4 private #contractors. #wrongBeyondWords
#needESA","['wolves', 'center4BioDiversity', 'Idaho', 'wolves', 'snares', 'contractors', 'wrongBeyondWords', 'needESA']",0,the  suing 2save   please donate2stop killing allowed yearround when denning with pups no limits on  indiscriminate strangulation  will pay more than half a mill 4 private
wolvesMOS_analysisV2hashtag.xlsx,920,1469635484313870080,2021-12-11 11:49:38,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,WolfWearGB,"Come on then boys.

3-5-2

Screams a counter attack

#wwfc #wolves #wolverhampton #wolverhamptonwanderers","['wwfc', 'wolves', 'wolverhampton', 'wolverhamptonwanderers']",0,"come on then boys

352

screams a counter attack"
wolvesMOS_analysisV2hashtag.xlsx,131,1470473024809882112,2021-12-13 19:17:43,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,TalkingWolves,"🐺 Brighton vs Wolves: 𝗠𝗔𝗧𝗖𝗛 𝗣𝗥𝗘𝗩𝗜𝗘𝗪

Dave takes a look at the latest team news and previews Wolves' trip to Brighton on Wednesday.

https://t.co/49EJTCtxsf

#WWFC | #Wolves https://t.co/z4nj3C8IiT","['WWFC', 'Wolves']",24,"brighton vs wolves 𝗠𝗔𝗧𝗖𝗛 𝗣𝗥𝗘𝗩𝗜𝗘𝗪

dave takes a look at the latest team news and previews wolves trip to brighton on wednesday"
